ABCA1|Tangier disease
ABCA4|Stargardt disease
ABCC6|pseudoxanthoma elasticum
APC|adenomatosis polyposis coli
APC|adenomatous polyposis coli
APP|Alzheimer disease
AR|Kennedy disease
ASPA|Canavan disease
ATP2C1|benign chronic pemphigus (Hailey-Hailey disease)
ATP2C1|benign chronic pemphigus
ATP6V1B1|Renal tubular acidosis with deafness
ATP6V0A2|infantile malignant osteopetrosis
ATP7B|Wilson disease
BCKDHB|maple syrup urine disease
BCKDHA|maple syrup urine disease
BEST1|Best disease
CASR|severe neonatal hyperparathyroidism
CCAL1|chondrocalcinosis
CLCN1|Thomsen disease, autosomal dominant
CLCN1|Thomsen disease
CLCN5|Dent disease
CLN3|juvenile neuronal ceroid lipofuscinosis
CLN3|Batten, Spielmeyer-Vogt disease
CLN3|Batten
CYBB|chronic granulomatous disease
CYLD|cylindromatosis (turban tumor syndrome)
CYLD|cylindromatosis
CYP27A1|cerebrotendinous xanthomatosis
DKK3|regulated in glioma
ELN|supravalvular aortic stenosis
F9|Christmas disease
FGFR3|achondroplasia, thanatophoric dwarfism
FGFR3|achondroplasia
FUS|translocated in liposarcoma
FUS|fused in sarcoma
G6PC|glycogen storage disease  I, von Gierke disease
G6PC|glycogen storage disease  I
G6PC|glycogen storage disease type I, von Gierke disease
G6PC|glycogen storage disease type I
GAA|Pompe disease
GAA|glycogen storage disease  II
GAA|glycogen storage disease type II
GALC|Krabbe disease
GBE1|Andersen disease
GCSAM|human germinal center-associated lymphoma
GNS|Sanfilippo disease IIID
HAND2-AS1|differentially expressed in neuroblastoma
HCCAT5|hepatoma associated gene
HEXA|Tay Sachs disease
HTC1|hypertrichosis
HTT|huntingtin (Huntington disease)
KRT2|epidermal ichthyosis bullosa of Siemens
KRT10|epidermolytic hyperkeratosis
KRT10|keratosis palmaris et plantaris
LHCGR|hypergonadotropic hypogonadism
LIPA|Wolman disease
LRP5|osteoporosis pseudoglioma syndrome
LYZ|renal amyloidosis
MBTPS2|keratosis follicularis spinulosa decalvans
MPV17|glomerulosclerosis
MRE11|AT-like disease
MYP1|Bornholm eye disease
NAGLU|Sanfilippo disease IIIB
NDP|Norrie disease (pseudoglioma)
NDP|Norrie disease
NF1|Watson disease
NF1|neurofibromatosis
NF1|von Recklinghausen disease
PEX7|Refsum disease
PHYH|Refsum disease
PLP1|Pelizaeus-Merzbacher disease
POMGNT1|muscle-eye-brain disease
PRKCSH|polycystic liver disease
PRNP|Creutzfeldt-Jakob disease
PRRT2|infantile convulsions and paroxysmal choreoathetosis
PYGL|Hers disease
PYGL|glycogen storage disease type VI
PYGL|glycogen storage disease VI
PYGM|glycogen storage disease type V
PYGM|glycogen storage disease V
RB1|osteosarcoma
RHBDF2|tylosis with oesophageal cancer
ROBO3|horizontal gaze palsy with progressive scoliosis
RYR1|central core disease of muscle
SGSH|mucopolysaccharidosis type IIIA
SGSH|mucopolysaccharidosis IIIA
SH2D1A|Duncan's disease
SH3BP2|Cherubism
SLC6A19|Hartnup disease
SLC17A5|sialic acid storage disease
SMN1|spinal muscular atrophy (Werdnig-Hoffmann disease, Kugelberg-Welander disease)
SMN1|spinal muscular atrophy
SOST|sclerosteosis
SOX3|panhypopituitarism
SRRD|hepatocellular carcinoma complicating hemochromatosis
TGFB1|Camurati-Engelmann disease
TGFBR1|multiple self-healing squamous epithelioma
TWIST1|craniosynostosis
TYR|oculocutaneous albinism IA
VPS13A|chorea acanthocytosis
XK|neuroacanthocytosis
XK|neurocanthocytosis
