ABCD1	AMN
ACKR2	CCR9
ACKR2	CCR10
ACOD1	CAD
ACTBP8	ACTBP2
ADAM28	ADAM23
ADRA1D	ADRA1A
AFF2	FRAXE
AGXT	AGT
AIFM2	PRG3
AKR1B1	AR
AKR1B10	ARL1
ALPK3	MAK
ANAPC2	APC2
ANTXR1	ATR
AOC1	DAO
APEX1	HAP1
AQP7	AQP9
ARHGAP21	ARHGAP10
ARHGEF7	PAK3
ARHGEF35	CTAGE4
ARID4A	RBP1
ART4	DOK1
ARTN	NBN
ASIC2	BNC1
AURKAIP1	AIP
B3GNTL1	B3GNT8
BANF1P1	BCRP1
BCAT2	BCAM
BCL6	BCL5
BRIP1	BACH1
BTF3P11	TNFRSF11B
BTN3A3	BTF3
BVES	POP1
C1D	LRP1
C1QTNF1	GIP
C3CER1	CER1
C4A	C4B
C6orf1	LBH
C6orf89	BRAP
C21orf33	HES1
CACNA1A	HPCA
CADPS	CAPS
CADPS2	CAPS2
CAPN5	HTRA3
CASP14	MICE
CCL13	SCYL1
CCL14	SCYL2
CCL15	SCYL3
CCM2	OSM
CD3EAP	CAST
CD47	OA3
CD200R1	HCRTR2
CDH19	CDH7
CDKN2AIP	CARF
CELSR1	ME2
CES1	CES2
CFAP73	MIA2
CFH	FHL1
CHAF1B	MPP7
CHAMP1	CAMP
CHD6	CHD5
CHEK2	CDS1
CHORDC1	CHP1
CLASP1	MAST1
CLCF1	CLC
CLIC6	CLIC5
CNGB1	GAR1
CNKSR2	KSR2
CNOT6	CCR4
CNOT9	RCD1
CNRIP1	CRIP1
CNTN1	F3
COASY	PPAT
COG6	COD2
COPS2	CSN2
COPS3	CSN3
CPA4	CPA3
CPAMD8	VIP
CPNE1	CPN1
CPNE2	CPN2
CPPED1	CSTP1
CREB3L4	CREB3
CRYM	DFNA40
CSAD	PCAP
CSNK2A2	CSNK2A1
CSTB	CST6
CTDP1	FCP1
CTDSP2	SCP2
CXCL10	C7
CXXC1	SPP1
CYCSP5	HCP5
CYP2A6	CPA6
CYP11B1	CPN1
CYP11B2	CPN2
CYP21A2	CPS1
DANCR	ANCR
DCAF5	BCRP2
DCBLD2	CLCP1
DCXR	DCR
DDOST	WBP1
DDR2	TKT
DDX11	CHL1
DEAF1	SPN
DEFA1A3	DEFA1
DEFA1A3	DEFA3
DEFA1A3	DEFT1P
DEFA6	DEF6
DEPDC1B	BRCC3
DFFB	CAD
DHX8	HRH1
DHX15	HRH2
DIDO1	DIO1
DLC1	HP
DLEC1	DLC1
DLGAP3	DAP3
DLGAP5	DLG1
DMAP1	EAF2
DMTF1	DMP1
DNAH9	DNAL1
DNPEP	DAP
DPAGT1	GPT
DPYSL2	DRP2
DSC3	DSC1
DSC3	DSC2
DUPD1	DUSP27
DUSP12	DUSP1
DUSP28	DUSP26
DYNLL1	DLC1
E2F1	RBP3
ECEL1	XCE
EGR1	ZNF225
EIF2AK2	EIF2AK1
EIF2D	LGTN
EIF2S1	EIF2A
EIF4G2	NAT1
ELOF1	ELF1
EPAS1	HLF
EPS8L1	DRC3
EPX	EPO
ERC2	CAST
ERCC2	MAG
ERCC4	RAD1
ETFA	MADD
EXT3	EXT2
EZH2	EZH1
F3	TF
FA2H	FAAH
FABP5P1	FABP5
FADS1	FADS6
FANCA	FAH
FASN	FAS
FBF1	ALB
FCRLB	FCRL2
FEM1C	FEM1A
FGF13	FGF2
FGFR1	FLG
FHIT	FRA3B
FKBP1B	FKBP9
FKBP10	FKBP6
FMR1	FRAXA
FOXC1	IHG1
FOXM1	MPP2
FYN	SLK
FZD9	FZD3
FZR1	CDH1
GAGE2D	GAGE8
GAGE2E	GAGE8
GAL3ST3	GAL3ST2
GALK2	GK2
GALNT15	GALNT7
GALNT18	GALNT15
GARS	SMAD1
GC	DBP
GDF15	PDF
GDNF	ATF1
GDNF	ATF2
GKN1	CA11
GLB1	EBP
GLI3	ACLS
GLS2	GLS
GNAI2	GIP
GNPDA1	GPI
GOLT1A	GOT1
GOLT1B	GOT1
GPI	NLK
GPNMB	NMB
GPRIN1	GRIN1
GPX7	GPX6
GTPBP4	NGB
GUCY2C	STAR
HBB	HBD
HCRT	PPOX
HECA	HDC
HFE	HLA-H
HID1	DMC1
HIST1H3PS1	H3F3AP1
HOMER2	CPD
HOOK1	HK1
HOOK2	HK2
HOOK3	HK3
HPLH1	FHL1
HRNR	S100A16
HSD17B4	DBP
HSD17B7P2	HSD17B7
HTR1B	S12
HYAL1	NAT6
IAPP	DAP
IFNA1	IFNA13
IGF2BP3	IMP3
IL1RL1	ST2
IL6	HGF
IL17D	IL27
ILF3	MPP4
INSL3	RLF
INSL6	RIF1
ITM2C	BRI3
KANSL1	NSL1
KCNA4	HK1
KCNA5	HK2
KCNN4	IK
KCTD11	REN
KHSRP	FBP2
KIF2A	HK2
KIF20B	MPP1
KLF5	CKLF
KLHL7	KLHL6
KLRG1	MAFA
KPNA6	KPNA7
KRT87P	HBD
KRT89P	HBB
KRTAP5-2	KRTAP5-8
KRTAP5-3	KRTAP5-9
KRTAP5-5	KRTAP5-11
KRTAP5-7	KRTAP5-3
KRTAP5-8	KRTAP5-2
KRTAP5-9	KRTAP5-1
KRTAP5-11	KRTAP5-6
LAMA4	LAMA3
LDB2	LDB1
LGALS12	GRIP1
LGALS13	PLAC8
LGALSL	GRP
LINC00598	TTL
LNPK	LNP1
LNX1	MPDZ
LONP1	PIM1
LOXL2	LOR
LPAR1	GPR26
LRIF1	RIF1
LRIG1	LIG1
LRP5	HBM
LRP12	ST7
LTB4R2	NOP9
LYNX1	SLURP2
LZTS1	FEZ1
MAFIP	MIP
MAGEA2B	MAGEA2
MAGI1	BAP1
MAP4K2	GCK
MAP4K5	GCKR
MAPRE2	RP1
MB	PVALB
MBD1	PCM1
MBD4	MED1
MED9	MED25
MED12	OPA1
MELTF	MTF1
METAP1	MAP1A
METAP2	MAP2
MFRP	C1QTNF5
MGAM	MGA
MIF	GIF
MIPEP	MIP
MKL1	MAL
MLF2	NTN4
MOCOS	MOS
MOGAT1	MGAT1
MOGAT2	MGAT2
MOGAT3	MGAT3
MPHOSPH6	MPP6
MRLN	MLN
MRPL13	RPL13
MRPL36	BRIP1
MRPL41	MRPL27
MRPS12	RPS12
MRPS28	MRPS35
MRPS35	MRPS28
MRTO4	MRT4
MS4A1	MS4A2
MS4A2	MS4A1
MS4A4A	MS4A7
MS4A7	MS4A8
MT3	GIF
MTCH1	PSAP
MYCBP2	PAM
MYDGF	IL25
MYH7B	MYH14
MYO1E	MYO1C
MYT1	MTF1
MYZAP	GCOM1
NANOGP2	NANOGP4
NANOGP4	NANOGP2
NANOGP7	NANOGP3
NANOS1	NOS1
NANOS2	NOS2
NANOS3	NOS3
NAPSA	NAPA
NAPSB	NAPB
NAT8	GLA
NCOA2	GRIP1
NCOA3	RAC3
NDRG1	DRG1
NDUFAB1	ACP1
NECTIN4	PRR4
NEDD4	RPF1
NELL2	NRP2
NFE2L1	NRF1
NKX2-1	TTF1
NLRP2B	POP4
NLRP3	AVP
NLRP4	PAN2
NLRP6	PAN3
NOL3	ARC
NPPC	CNP
NPRL2	NPR2
NPRL3	NPR3
NR4A2	RNR1
NRG1	HRG
NT5C3A	POMP
NUDT19	RP2
PAK6	PAK5
PAPD7	POLK
PAPPA-AS1	TAF4B
PARD3	ASIP
PCDHA4	CNR1
PCDHA6	CNR2
PCDHA@	CNR1
PCDHB11	ME2
PCDHB16	ME1
PCDHGA5	ME3
PCDHGB4	CDH20
PDHX	PDX1
PDPK1	PDK1
PGAM4	PGAM1
PGAP3	PER1
PGF	PIGF
PGPEP1	PGP
PIGU	GAB1
PKMYT1	MYT1
PKN1	PAK1
PLPP6	PDP1
PLPPR3	PRG2
PLXNA1	NOV
PMEL	SI
PMEPA1	STAG1
PNKD	PDC
PODXL	PC
POLK	POLQ
POLQ	POLH
POLR1A	RPA1
POLR1B	RPA2
POLR2D	RBP4
POLR2M	GCOM1
POMZP3	POM121
PPIAP10	CRP
PPP3CA	CNA1
PPY	PNP
PRDX3	MER5
PRDX5	PRDX6
PRDX6	PRX
PRG2	MBP
PRICKLE1	RILP
PRKD2	PKD2
PRKRA	RAX
PRODH	PRODH2
PRPF38B	NET1
PSG1	PBG1
PSG2	PSG1
PSMA7	C6
PSMC2	S7
PSMD7	S12
PTEN	TEP1
PTENP1	PTH2
PTPMT1	DUSP23
PTPN18	BDP1
PTPRU	PTPRO
PTRH2	PTH2
PXDN	PRG2
PXDN	PXN
PXMP2	PMP22
PYDC1	POP1
RAB43	ISY1
RAB43	RAB11B
RAB43	RAB41
RAI1	SMS
RBL1	PRB1
RBM8A	RBM8B
RDH14	PAN2
REXO2	SFN
RGPD1	RGP1
RGS9BP	RGS9
RGS18	RGS13
RHEBP1	RHEB
RIMBP2	RBP2
RIN2	RASSF4
RMDN1	RMD1
RMND1	RMD1
RMRP	NME1
RNASE1	RAC1
RNASE3	RAF1
RNASE6	RAD1
RNASE7	RAE1
RNASE10	RNASE9
RNASE12	RAI1
RNASEH1P1	RNH1
RNF2	BAP1
RNF4	SNURF
RNF7	SAG
RNF138	NARF
RNF139	RCA1
RNF141	ZNF230
RORA	ROR1
RORA	ROR2
RPL10	NOV
RPL15	RPL10
RPS7	S7
RPS11	S11
RPS12	S12
RRP1B	RRP1
RSC1A1	RS1
RSL24D1	RPL24
S100A9	MIF
S100G	CABP1
SARS2	SARS
SBDS	SDS
SCAR6	CLA3
SCGB1D1	LIPA
SCGB1D2	LIPB
SEC14L2	TAP1
SEC14L3	TAP2
SEL1L	IBD2
SELENON	RSS
SELENOP	SELP
SEM1	ECD
SEMA3F-AS1	RBM5-AS1
SEPSECS	SLA
SERPINA2	ATR
SERPINB8	CAP2
SF3B3	SAP130
SFI1	PISD
SGCG	SCG3
SGPP2	SPP2
SH2D1A	MTCP1
SH3D19	EBP
SLC7A8	LAT2
SLC19A1	RFC1
SLC22A5	SCD
SLC25A15	ORC1
SLC25A16	GDA
SLC25A21	ODC1
SLC25A23	APC2
SLC38A1	NAT2
SLC38A1	SAT1
SLC38A2	SAT2
SLCO1C1	OATP1
SLIT1	SLIT3
SLIT3	SLIT1
SMOC2	SMAP2
SMOX	SMO
SNORA58	SNORA58B
SNORD115-45	SNORD115-48
SNX33	SNX30
SOAT2	ACAT2
SORT1	NT3
SOS1	HGF
SOX9	SRA1
SP6	KLF14
SPATA17	IQCH
SPATS1	SPATA8
SPG32	SPG29
SPNS1	LAT
SPNS1	SPIN1
